shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.DMDModulationPreHoldTime,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.LatticeFreezeVerticalPower,GlobalLatticeVariables2.UnloadLatticeYPower,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.SecondDMD1RampTime,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.NematicLatticeModulationFrequency,LocalVariables.XbarFrequency,LocalVariables.ScanID5,GlobalLatticeVariables2.ImagingLatticeFreezeTime,GlobalLatticeVariables2.NematicLatticeModulationXbarPhase,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.NematicLatticeModulationPostHoldTime,GlobalLatticeVariables2.DMDModulationAmplitude,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalMotVariables2.MotExtAmplitudeCompressed,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.LoadWithDmd0InitialPower,LocalVariables.ScanID3,GlobalLatticeVariables2.UnloadLatticeRampTime,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionFinalPower,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.DMDModulationOffset,LocalVariables.DMDID,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.ReloadLatticeRampTime,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalImagingVariables2.SecondSpinBlowOutPulseDetuning,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,LocalVariables.ScanID4,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalImagingVariables2.SpinBlowOutPulsePulseWidth,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.LatticeFreezePhysicsNorthwestPower,GlobalImagingVariables2.SecondSpinBlowOutPulsePulseWidth,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.NematicLatticeModulationPreHoldTime,GlobalMotVariables2.MotRepumpExtAmplitudeCompressed,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalImagingVariables2.SecondSpinBlowOutPulseMagneticField,GlobalLatticeVariables2.LoadingGradientNorthwestInitialPower,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampWaitTime,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionInitialPower,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalImagingVariables2.SecondSpinBlowOutPulseOneHalfExtAmplitude,GlobalImagingVariables2.SpinBlowNorthwestPower,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalScienceChamberEvaporationVariables2.AccordionCompressionDimplePower,GlobalImagingVariables2.SecondSpinBlowOutPulseThreeHalvesExtAmplitude,GlobalLatticeVariables2.LatticeFreezeNorthwestPower,GlobalLatticeVariables2.Dmd1ModPattern,GlobalLatticeVariables2.IsImageBIFormation,GlobalLatticeVariables2.PhysicsSplitFieldRampDelayTime,GlobalLatticeVariables2.CleanupBandInsulatorWaitTime,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.DMDModulationTime,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampDelayTime,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,LocalVariables.ShotTypeID,GlobalImagingVariables2.FourthSpinBlowOutPulseDetuning,GlobalImagingVariables2.ThirdSpinBlowOutPulseDetuning,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.UnloadLatticeXPower,GlobalLatticeVariables2.LoadingGradientRadialLoadingField,GlobalLatticeVariables2.IsNematicLatticeModulation,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.IsRoundTripReloading,GlobalLatticeVariables2.IsDMDLatticeModulation,GlobalLatticeVariables2.NematicLatticeModulationTime,GlobalImagingVariables2.SpinBlowOutPulseDetuning,GlobalLatticeVariables2.DMDModulationFrequency,GlobalLatticeVariables2.Dmd1PatternFilename,LocalVariables.DMDID2,LocalVariables.ScanID2,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalImagingVariables2.FifthSpinBlowOutPulseDetuning,GlobalLatticeVariables2.isImageExpandedCheckerboard,GlobalMotVariables2.MotDetuningCompressed
10,10,2025/10/13 04:47:04,0.0,0.035,228200000.0,0.0,0.007,0.0,0.02,0.0,0,0.03,200.0,773000000.0,0.0,0.02,0.0,0.01125,0.0,0.0,0.0225,0.78,0.03,0.032,0.0,0.01,1.0,0.174746,0.0,0.0,0.0,0.1,0.014,300000000.0,590.0,0.005,100000.0,0.0,0.001,4.9999999999999996e-06,0.1634945,1.0,9.999999999999999e-06,b'251007_dmd0_iterative_compensation_pinning_8p.pkl',0.0,0.48,0.0225,500.0,0.05,0.0,2.5,2.9999999999999997e-05,0.0,1.5,0.0032,0.3,0.0,1.3,0.0,0,0.0,0.03,0.975,0.03,-1.4999999999999999e-05,93.0,10.0,854000000.0,932600000.0,0.018000000000000002,10.0,0.0225,0.00025,550.0,0,0.1,0,0,0.03,450000000.0,200.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.0,0.875,0.2,620000000.0,0,-6000000.0
11,11,2025/10/13 04:47:20,0.0,0.035,83506780.0,0.0,0.007,0.0,0.02,0.0,0,0.03,200.0,773000000.0,0.0,0.02,0.0,0.01125,0.0,0.0,0.0225,0.78,0.03,0.032,0.0,0.01,1.0,0.174746,0.0,0.0,1.0,0.1,0.014,766000000.0,590.0,0.005,100000.0,0.0,0.04,9.999999999999999e-06,0.1634945,1.0,9.999999999999999e-06,b'251007_dmd0_iterative_compensation_pinning_8p.pkl',0.0,0.48,0.0225,610.0,0.05,0.0,2.5,2.9999999999999997e-05,0.7,1.5,0.0032,0.3,0.0,1.3,0.0,0,0.0,0.03,0.975,0.03,-1.4999999999999999e-05,93.0,11.0,1010900000.0,1088300000.0,0.018000000000000002,10.0,0.0225,0.00025,550.0,0,0.1,0,0,0.03,605500000.0,200.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.0,0.875,0.2,620000000.0,0,-6000000.0
12,12,2025/10/13 04:47:36,0.0,0.035,228200000.0,0.0,0.007,0.0,0.02,0.0,0,0.03,200.0,773000000.0,0.0,0.02,0.0,0.01125,0.0,0.0,0.0225,0.78,0.03,0.032,0.0,0.01,1.0,0.174746,0.0,0.0,0.0,0.1,0.014,300000000.0,590.0,0.005,100000.0,0.0,0.001,4.9999999999999996e-06,0.1634945,1.0,9.999999999999999e-06,b'251007_dmd0_iterative_compensation_pinning_10n.pkl',0.0,0.48,0.0225,500.0,0.05,0.0,2.5,2.9999999999999997e-05,0.0,1.5,0.0032,0.3,0.0,1.3,0.0,0,0.0,0.03,0.975,0.03,-1.4999999999999999e-05,93.0,12.0,854000000.0,932600000.0,0.018000000000000002,10.0,0.0225,0.00025,550.0,0,0.1,0,0,0.03,450000000.0,200.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.0,0.875,0.2,620000000.0,0,-6000000.0
13,13,2025/10/13 04:47:51,0.0,0.035,83506780.0,0.0,0.007,0.0,0.02,0.0,0,0.03,200.0,773000000.0,0.0,0.02,0.0,0.01125,0.0,0.0,0.0225,0.78,0.03,0.032,0.0,0.01,1.0,0.174746,0.0,0.0,1.0,0.1,0.014,766000000.0,590.0,0.005,100000.0,0.0,0.04,9.999999999999999e-06,0.1634945,1.0,9.999999999999999e-06,b'251007_dmd0_iterative_compensation_pinning_10n.pkl',0.0,0.48,0.0225,610.0,0.05,0.0,2.5,2.9999999999999997e-05,0.7,1.5,0.0032,0.3,0.0,1.3,0.0,0,0.0,0.03,0.975,0.03,-1.4999999999999999e-05,93.0,13.0,1010900000.0,1088300000.0,0.018000000000000002,10.0,0.0225,0.00025,550.0,0,0.1,0,0,0.03,605500000.0,200.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.0,0.875,0.2,620000000.0,0,-6000000.0
14,14,2025/10/13 04:48:07,0.0,0.035,228200000.0,0.0,0.007,0.0,0.02,0.0,0,0.03,200.0,773000000.0,0.0,0.02,0.0,0.01125,0.0,0.0,0.0225,0.78,0.03,0.032,0.0,0.01,1.0,0.174746,0.0,0.0,0.0,0.1,0.014,300000000.0,590.0,0.005,100000.0,0.0,0.001,4.9999999999999996e-06,0.1634945,1.0,9.999999999999999e-06,b'251007_dmd0_iterative_compensation_pinning_10p.pkl',0.0,0.48,0.0225,500.0,0.05,0.0,2.5,2.9999999999999997e-05,0.0,1.5,0.0032,0.3,0.0,1.3,0.0,0,0.0,0.03,0.975,0.03,-1.4999999999999999e-05,93.0,14.0,854000000.0,932600000.0,0.018000000000000002,10.0,0.0225,0.00025,550.0,0,0.1,0,0,0.03,450000000.0,200.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.0,0.875,0.2,620000000.0,0,-6000000.0
15,15,2025/10/13 04:48:23,0.0,0.035,83506780.0,0.0,0.007,0.0,0.02,0.0,0,0.03,200.0,773000000.0,0.0,0.02,0.0,0.01125,0.0,0.0,0.0225,0.78,0.03,0.032,0.0,0.01,1.0,0.174746,0.0,0.0,1.0,0.1,0.014,766000000.0,590.0,0.005,100000.0,0.0,0.04,9.999999999999999e-06,0.1634945,1.0,9.999999999999999e-06,b'251007_dmd0_iterative_compensation_pinning_10p.pkl',0.0,0.48,0.0225,610.0,0.05,0.0,2.5,2.9999999999999997e-05,0.7,1.5,0.0032,0.3,0.0,1.3,0.0,0,0.0,0.03,0.975,0.03,-1.4999999999999999e-05,93.0,15.0,1010900000.0,1088300000.0,0.018000000000000002,10.0,0.0225,0.00025,550.0,0,0.1,0,0,0.03,605500000.0,200.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.0,0.875,0.2,620000000.0,0,-6000000.0
16,16,2025/10/13 04:48:39,0.0,0.035,228200000.0,0.0,0.007,0.0,0.02,0.0,0,0.03,200.0,773000000.0,0.0,0.02,0.0,0.01125,0.0,0.0,0.0225,0.78,0.03,0.032,0.0,0.01,1.0,0.174746,0.0,0.0,0.0,0.1,0.014,300000000.0,590.0,0.005,100000.0,0.0,0.001,4.9999999999999996e-06,0.1634945,1.0,9.999999999999999e-06,b'251007_dmd0_iterative_compensation_pinning_12n.pkl',0.0,0.48,0.0225,500.0,0.05,0.0,2.5,2.9999999999999997e-05,0.0,1.5,0.0032,0.3,0.0,1.3,0.0,0,0.0,0.03,0.975,0.03,-1.4999999999999999e-05,93.0,16.0,854000000.0,932600000.0,0.018000000000000002,10.0,0.0225,0.00025,550.0,0,0.1,0,0,0.03,450000000.0,200.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.0,0.875,0.2,620000000.0,0,-6000000.0
17,17,2025/10/13 04:48:54,0.0,0.035,83506780.0,0.0,0.007,0.0,0.02,0.0,0,0.03,200.0,773000000.0,0.0,0.02,0.0,0.01125,0.0,0.0,0.0225,0.78,0.03,0.032,0.0,0.01,1.0,0.174746,0.0,0.0,1.0,0.1,0.014,766000000.0,590.0,0.005,100000.0,0.0,0.04,9.999999999999999e-06,0.1634945,1.0,9.999999999999999e-06,b'251007_dmd0_iterative_compensation_pinning_12n.pkl',0.0,0.48,0.0225,610.0,0.05,0.0,2.5,2.9999999999999997e-05,0.7,1.5,0.0032,0.3,0.0,1.3,0.0,0,0.0,0.03,0.975,0.03,-1.4999999999999999e-05,93.0,17.0,1010900000.0,1088300000.0,0.018000000000000002,10.0,0.0225,0.00025,550.0,0,0.1,0,0,0.03,605500000.0,200.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.0,0.875,0.2,620000000.0,0,-6000000.0
18,18,2025/10/13 04:49:11,0.0,0.035,228200000.0,0.0,0.007,0.0,0.02,0.0,0,0.03,200.0,773000000.0,0.0,0.02,0.0,0.01125,0.0,0.0,0.0225,0.78,0.03,0.032,0.0,0.01,1.0,0.174746,0.0,0.0,0.0,0.1,0.014,300000000.0,590.0,0.005,100000.0,0.0,0.001,4.9999999999999996e-06,0.1634945,1.0,9.999999999999999e-06,b'251007_dmd0_iterative_compensation_pinning_12p.pkl',0.0,0.48,0.0225,500.0,0.05,0.0,2.5,2.9999999999999997e-05,0.0,1.5,0.0032,0.3,0.0,1.3,0.0,0,0.0,0.03,0.975,0.03,-1.4999999999999999e-05,93.0,18.0,854000000.0,932600000.0,0.018000000000000002,10.0,0.0225,0.00025,550.0,0,0.1,0,0,0.03,450000000.0,200.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.0,0.875,0.2,620000000.0,0,-6000000.0
19,19,2025/10/13 04:49:26,0.0,0.035,83506780.0,0.0,0.007,0.0,0.02,0.0,0,0.03,200.0,773000000.0,0.0,0.02,0.0,0.01125,0.0,0.0,0.0225,0.78,0.03,0.032,0.0,0.01,1.0,0.174746,0.0,0.0,1.0,0.1,0.014,766000000.0,590.0,0.005,100000.0,0.0,0.04,9.999999999999999e-06,0.1634945,1.0,9.999999999999999e-06,b'251007_dmd0_iterative_compensation_pinning_12p.pkl',0.0,0.48,0.0225,610.0,0.05,0.0,2.5,2.9999999999999997e-05,0.7,1.5,0.0032,0.3,0.0,1.3,0.0,0,0.0,0.03,0.975,0.03,-1.4999999999999999e-05,93.0,19.0,1010900000.0,1088300000.0,0.018000000000000002,10.0,0.0225,0.00025,550.0,0,0.1,0,0,0.03,605500000.0,200.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.0,0.875,0.2,620000000.0,0,-6000000.0
20,20,2025/10/13 04:49:42,0.0,0.035,228200000.0,0.0,0.007,0.0,0.02,0.0,0,0.03,200.0,773000000.0,0.0,0.02,0.0,0.01125,0.0,0.0,0.0225,0.78,0.03,0.032,0.0,0.01,1.0,0.174746,0.0,0.0,0.0,0.1,0.014,300000000.0,590.0,0.005,100000.0,0.0,0.001,4.9999999999999996e-06,0.1634945,1.0,9.999999999999999e-06,b'251007_dmd0_iterative_compensation_pinning_16n.pkl',0.0,0.48,0.0225,500.0,0.05,0.0,2.5,2.9999999999999997e-05,0.0,1.5,0.0032,0.3,0.0,1.3,0.0,0,0.0,0.03,0.975,0.03,-1.4999999999999999e-05,93.0,20.0,854000000.0,932600000.0,0.018000000000000002,10.0,0.0225,0.00025,550.0,0,0.1,0,0,0.03,450000000.0,200.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.0,0.875,0.2,620000000.0,0,-6000000.0
21,21,2025/10/13 04:49:58,0.0,0.035,83506780.0,0.0,0.007,0.0,0.02,0.0,0,0.03,200.0,773000000.0,0.0,0.02,0.0,0.01125,0.0,0.0,0.0225,0.78,0.03,0.032,0.0,0.01,1.0,0.174746,0.0,0.0,1.0,0.1,0.014,766000000.0,590.0,0.005,100000.0,0.0,0.04,9.999999999999999e-06,0.1634945,1.0,9.999999999999999e-06,b'251007_dmd0_iterative_compensation_pinning_16n.pkl',0.0,0.48,0.0225,610.0,0.05,0.0,2.5,2.9999999999999997e-05,0.7,1.5,0.0032,0.3,0.0,1.3,0.0,0,0.0,0.03,0.975,0.03,-1.4999999999999999e-05,93.0,21.0,1010900000.0,1088300000.0,0.018000000000000002,10.0,0.0225,0.00025,550.0,0,0.1,0,0,0.03,605500000.0,200.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.0,0.875,0.2,620000000.0,0,-6000000.0
22,22,2025/10/13 04:50:14,0.0,0.035,228200000.0,0.0,0.007,0.0,0.02,0.0,0,0.03,200.0,773000000.0,0.0,0.02,0.0,0.01125,0.0,0.0,0.0225,0.78,0.03,0.032,0.0,0.01,1.0,0.174746,0.0,0.0,0.0,0.1,0.014,300000000.0,590.0,0.005,100000.0,0.0,0.001,4.9999999999999996e-06,0.1634945,1.0,9.999999999999999e-06,b'251007_dmd0_iterative_compensation_pinning_16p.pkl',0.0,0.48,0.0225,500.0,0.05,0.0,2.5,2.9999999999999997e-05,0.0,1.5,0.0032,0.3,0.0,1.3,0.0,0,0.0,0.03,0.975,0.03,-1.4999999999999999e-05,93.0,22.0,854000000.0,932600000.0,0.018000000000000002,10.0,0.0225,0.00025,550.0,0,0.1,0,0,0.03,450000000.0,200.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.0,0.875,0.2,620000000.0,0,-6000000.0
23,23,2025/10/13 04:50:29,0.0,0.035,83506780.0,0.0,0.007,0.0,0.02,0.0,0,0.03,200.0,773000000.0,0.0,0.02,0.0,0.01125,0.0,0.0,0.0225,0.78,0.03,0.032,0.0,0.01,1.0,0.174746,0.0,0.0,1.0,0.1,0.014,766000000.0,590.0,0.005,100000.0,0.0,0.04,9.999999999999999e-06,0.1634945,1.0,9.999999999999999e-06,b'251007_dmd0_iterative_compensation_pinning_16p.pkl',0.0,0.48,0.0225,610.0,0.05,0.0,2.5,2.9999999999999997e-05,0.7,1.5,0.0032,0.3,0.0,1.3,0.0,0,0.0,0.03,0.975,0.03,-1.4999999999999999e-05,93.0,23.0,1010900000.0,1088300000.0,0.018000000000000002,10.0,0.0225,0.00025,550.0,0,0.1,0,0,0.03,605500000.0,200.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.0,0.875,0.2,620000000.0,0,-6000000.0
24,24,2025/10/13 04:50:45,0.0,0.035,228200000.0,0.0,0.007,0.0,0.02,0.0,0,0.03,200.0,773000000.0,0.0,0.02,0.0,0.01125,0.0,0.0,0.0225,0.78,0.03,0.032,0.0,0.01,1.0,0.174746,0.0,0.0,0.0,0.1,0.014,300000000.0,590.0,0.005,100000.0,0.0,0.001,4.9999999999999996e-06,0.1634945,1.0,9.999999999999999e-06,b'251007_dmd0_iterative_compensation_pinning_20n.pkl',0.0,0.48,0.0225,500.0,0.05,0.0,2.5,2.9999999999999997e-05,0.0,1.5,0.0032,0.3,0.0,1.3,0.0,0,0.0,0.03,0.975,0.03,-1.4999999999999999e-05,93.0,24.0,854000000.0,932600000.0,0.018000000000000002,10.0,0.0225,0.00025,550.0,0,0.1,0,0,0.03,450000000.0,200.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.0,0.875,0.2,620000000.0,0,-6000000.0
25,25,2025/10/13 04:51:01,0.0,0.035,83506780.0,0.0,0.007,0.0,0.02,0.0,0,0.03,200.0,773000000.0,0.0,0.02,0.0,0.01125,0.0,0.0,0.0225,0.78,0.03,0.032,0.0,0.01,1.0,0.174746,0.0,0.0,1.0,0.1,0.014,766000000.0,590.0,0.005,100000.0,0.0,0.04,9.999999999999999e-06,0.1634945,1.0,9.999999999999999e-06,b'251007_dmd0_iterative_compensation_pinning_20n.pkl',0.0,0.48,0.0225,610.0,0.05,0.0,2.5,2.9999999999999997e-05,0.7,1.5,0.0032,0.3,0.0,1.3,0.0,0,0.0,0.03,0.975,0.03,-1.4999999999999999e-05,93.0,25.0,1010900000.0,1088300000.0,0.018000000000000002,10.0,0.0225,0.00025,550.0,0,0.1,0,0,0.03,605500000.0,200.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.0,0.875,0.2,620000000.0,0,-6000000.0
26,26,2025/10/13 04:51:17,0.0,0.035,228200000.0,0.0,0.007,0.0,0.02,0.0,0,0.03,200.0,773000000.0,0.0,0.02,0.0,0.01125,0.0,0.0,0.0225,0.78,0.03,0.032,0.0,0.01,1.0,0.174746,0.0,0.0,0.0,0.1,0.014,300000000.0,590.0,0.005,100000.0,0.0,0.001,4.9999999999999996e-06,0.1634945,1.0,9.999999999999999e-06,b'251007_dmd0_iterative_compensation_pinning_20p.pkl',0.0,0.48,0.0225,500.0,0.05,0.0,2.5,2.9999999999999997e-05,0.0,1.5,0.0032,0.3,0.0,1.3,0.0,0,0.0,0.03,0.975,0.03,-1.4999999999999999e-05,93.0,26.0,854000000.0,932600000.0,0.018000000000000002,10.0,0.0225,0.00025,550.0,0,0.1,0,0,0.03,450000000.0,200.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.0,0.875,0.2,620000000.0,0,-6000000.0
27,27,2025/10/13 04:51:32,0.0,0.035,83506780.0,0.0,0.007,0.0,0.02,0.0,0,0.03,200.0,773000000.0,0.0,0.02,0.0,0.01125,0.0,0.0,0.0225,0.78,0.03,0.032,0.0,0.01,1.0,0.174746,0.0,0.0,1.0,0.1,0.014,766000000.0,590.0,0.005,100000.0,0.0,0.04,9.999999999999999e-06,0.1634945,1.0,9.999999999999999e-06,b'251007_dmd0_iterative_compensation_pinning_20p.pkl',0.0,0.48,0.0225,610.0,0.05,0.0,2.5,2.9999999999999997e-05,0.7,1.5,0.0032,0.3,0.0,1.3,0.0,0,0.0,0.03,0.975,0.03,-1.4999999999999999e-05,93.0,27.0,1010900000.0,1088300000.0,0.018000000000000002,10.0,0.0225,0.00025,550.0,0,0.1,0,0,0.03,605500000.0,200.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.0,0.875,0.2,620000000.0,0,-6000000.0
28,28,2025/10/13 04:51:48,0.0,0.035,228200000.0,0.0,0.007,0.0,0.02,0.0,0,0.03,200.0,773000000.0,0.0,0.02,0.0,0.01125,0.0,0.0,0.0225,0.78,0.03,0.032,0.0,0.01,1.0,0.174746,0.0,0.0,0.0,0.1,0.014,300000000.0,590.0,0.005,100000.0,0.0,0.001,4.9999999999999996e-06,0.1634945,1.0,9.999999999999999e-06,b'251007_dmd0_iterative_compensation_pinning_4n.pkl',0.0,0.48,0.0225,500.0,0.05,0.0,2.5,2.9999999999999997e-05,0.0,1.5,0.0032,0.3,0.0,1.3,0.0,0,0.0,0.03,0.975,0.03,-1.4999999999999999e-05,93.0,28.0,854000000.0,932600000.0,0.018000000000000002,10.0,0.0225,0.00025,550.0,0,0.1,0,0,0.03,450000000.0,200.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.0,0.875,0.2,620000000.0,0,-6000000.0
29,29,2025/10/13 04:52:04,0.0,0.035,83506780.0,0.0,0.007,0.0,0.02,0.0,0,0.03,200.0,773000000.0,0.0,0.02,0.0,0.01125,0.0,0.0,0.0225,0.78,0.03,0.032,0.0,0.01,1.0,0.174746,0.0,0.0,1.0,0.1,0.014,766000000.0,590.0,0.005,100000.0,0.0,0.04,9.999999999999999e-06,0.1634945,1.0,9.999999999999999e-06,b'251007_dmd0_iterative_compensation_pinning_4n.pkl',0.0,0.48,0.0225,610.0,0.05,0.0,2.5,2.9999999999999997e-05,0.7,1.5,0.0032,0.3,0.0,1.3,0.0,0,0.0,0.03,0.975,0.03,-1.4999999999999999e-05,93.0,29.0,1010900000.0,1088300000.0,0.018000000000000002,10.0,0.0225,0.00025,550.0,0,0.1,0,0,0.03,605500000.0,200.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.0,0.875,0.2,620000000.0,0,-6000000.0
30,30,2025/10/13 04:52:20,0.0,0.035,228200000.0,0.0,0.007,0.0,0.02,0.0,0,0.03,200.0,773000000.0,0.0,0.02,0.0,0.01125,0.0,0.0,0.0225,0.78,0.03,0.032,0.0,0.01,1.0,0.174746,0.0,0.0,0.0,0.1,0.014,300000000.0,590.0,0.005,100000.0,0.0,0.001,4.9999999999999996e-06,0.1634945,1.0,9.999999999999999e-06,b'251007_dmd0_iterative_compensation_pinning_4p.pkl',0.0,0.48,0.0225,500.0,0.05,0.0,2.5,2.9999999999999997e-05,0.0,1.5,0.0032,0.3,0.0,1.3,0.0,0,0.0,0.03,0.975,0.03,-1.4999999999999999e-05,93.0,30.0,854000000.0,932600000.0,0.018000000000000002,10.0,0.0225,0.00025,550.0,0,0.1,0,0,0.03,450000000.0,200.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.0,0.875,0.2,620000000.0,0,-6000000.0
31,31,2025/10/13 04:52:35,0.0,0.035,83506780.0,0.0,0.007,0.0,0.02,0.0,0,0.03,200.0,773000000.0,0.0,0.02,0.0,0.01125,0.0,0.0,0.0225,0.78,0.03,0.032,0.0,0.01,1.0,0.174746,0.0,0.0,1.0,0.1,0.014,766000000.0,590.0,0.005,100000.0,0.0,0.04,9.999999999999999e-06,0.1634945,1.0,9.999999999999999e-06,b'251007_dmd0_iterative_compensation_pinning_4p.pkl',0.0,0.48,0.0225,610.0,0.05,0.0,2.5,2.9999999999999997e-05,0.7,1.5,0.0032,0.3,0.0,1.3,0.0,0,0.0,0.03,0.975,0.03,-1.4999999999999999e-05,93.0,31.000000000000004,1010900000.0,1088300000.0,0.018000000000000002,10.0,0.0225,0.00025,550.0,0,0.1,0,0,0.03,605500000.0,200.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.0,0.875,0.2,620000000.0,0,-6000000.0
32,32,2025/10/13 04:52:51,0.0,0.035,228200000.0,0.0,0.007,0.0,0.02,0.0,0,0.03,200.0,773000000.0,0.0,0.02,0.0,0.01125,0.0,0.0,0.0225,0.78,0.03,0.032,0.0,0.01,1.0,0.174746,0.0,0.0,0.0,0.1,0.014,300000000.0,590.0,0.005,100000.0,0.0,0.001,4.9999999999999996e-06,0.1634945,1.0,9.999999999999999e-06,b'251007_dmd0_iterative_compensation_pinning_6n.pkl',0.0,0.48,0.0225,500.0,0.05,0.0,2.5,2.9999999999999997e-05,0.0,1.5,0.0032,0.3,0.0,1.3,0.0,0,0.0,0.03,0.975,0.03,-1.4999999999999999e-05,93.0,32.0,854000000.0,932600000.0,0.018000000000000002,10.0,0.0225,0.00025,550.0,0,0.1,0,0,0.03,450000000.0,200.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.0,0.875,0.2,620000000.0,0,-6000000.0
33,33,2025/10/13 04:53:07,0.0,0.035,83506780.0,0.0,0.007,0.0,0.02,0.0,0,0.03,200.0,773000000.0,0.0,0.02,0.0,0.01125,0.0,0.0,0.0225,0.78,0.03,0.032,0.0,0.01,1.0,0.174746,0.0,0.0,1.0,0.1,0.014,766000000.0,590.0,0.005,100000.0,0.0,0.04,9.999999999999999e-06,0.1634945,1.0,9.999999999999999e-06,b'251007_dmd0_iterative_compensation_pinning_6n.pkl',0.0,0.48,0.0225,610.0,0.05,0.0,2.5,2.9999999999999997e-05,0.7,1.5,0.0032,0.3,0.0,1.3,0.0,0,0.0,0.03,0.975,0.03,-1.4999999999999999e-05,93.0,33.0,1010900000.0,1088300000.0,0.018000000000000002,10.0,0.0225,0.00025,550.0,0,0.1,0,0,0.03,605500000.0,200.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.0,0.875,0.2,620000000.0,0,-6000000.0
