shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.isUnloadReloadBI,GlobalImagingVariables2.FifthSpinBlowOutPulseDetuning,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.FinalStateGradientCurrent,LocalVariables.ScanID4,GlobalMotVariables2.MotDetuningCompressed,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.UnloadLatticeRampTime,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.LatticeFreezeVerticalPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,LocalVariables.DMDID,GlobalLatticeVariables2.LoadingGradientRadialLoadingField,GlobalLatticeVariables2.IsRoundTripReloading,GlobalPulseVariables2.LatticeMicrowaveDuration,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionInitialPower,LocalVariables.ScanID2,GlobalImagingVariables2.SecondSpinBlowOutPulsePulseWidth,GlobalLatticeVariables2.LatticeFreezeNorthwestPower,GlobalLatticeVariables2.Dmd1ModPattern,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.NematicLatticeModulationPostHoldTime,LocalVariables.DMDID2,GlobalImagingVariables2.SecondSpinBlowOutPulseOneHalfExtAmplitude,GlobalLatticeVariables2.LoadingGradientNorthwestInitialPower,GlobalMotVariables2.MotRepumpExtAmplitudeCompressed,GlobalLatticeVariables2.PhysicsSplitFieldRampDelayTime,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalScienceChamberEvaporationVariables2.AccordionCompressionDimplePower,GlobalImagingVariables2.SecondSpinBlowOutPulseThreeHalvesExtAmplitude,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.Dmd1PatternFilename,GlobalMotVariables2.MotExtAmplitudeCompressed,LocalVariables.ShotTypeID,GlobalLatticeVariables2.LatticeFreezePhysicsNorthwestPower,GlobalImagingVariables2.SpinBlowNorthwestPower,GlobalImagingVariables2.FourthSpinBlowOutPulseDetuning,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.SecondDMD1RampTime,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.DMDModulationAmplitude,GlobalLatticeVariables2.NematicLatticeModulationPreHoldTime,GlobalImagingVariables2.SpinBlowOutPulsePulseWidth,GlobalImagingVariables2.SecondSpinBlowOutPulseMagneticField,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.isImageExpandedCheckerboard,GlobalLatticeVariables2.LoadWithDmd0InitialPower,LocalVariables.ScanID5,LocalVariables.ScanID3,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampWaitTime,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.DMDModulationTime,GlobalImagingVariables2.ThirdSpinBlowOutPulseDetuning,GlobalLatticeVariables2.UnloadLatticeXPower,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.UnloadLatticeYPower,GlobalLatticeVariables2.IsDMDLatticeModulation,GlobalLatticeVariables2.NematicLatticeModulationFrequency,GlobalLatticeVariables2.IsNematicLatticeModulation,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.DMDModulationPreHoldTime,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.ReloadLatticeRampTime,GlobalLatticeVariables2.DMDModulationOffset,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.NematicLatticeModulationXbarPhase,GlobalLatticeVariables2.IsImageBIFormation,LocalVariables.XbarFrequency,GlobalLatticeVariables2.NematicLatticeModulationTime,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampDelayTime,GlobalImagingVariables2.SecondSpinBlowOutPulseDetuning,GlobalLatticeVariables2.CleanupBandInsulatorWaitTime,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.DMDModulationFrequency,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionFinalPower,GlobalLatticeVariables2.ImagingLatticeFreezeTime,GlobalImagingVariables2.SpinBlowOutPulseDetuning
595,595,2025/10/03 08:10:33,0,620000000.0,0.0,10.0,0.0,-6000000.0,0.1,0.01,2.9999999999999997e-05,0.0,0.03,0.0,550.0,0,0.001,0.0,2.5,0.875,9.999999999999999e-06,1.3,0.0,0.0225,0.0,0.0,0.0,0.05,0.48,0.0,0.035,0.975,0.174746,0.014,0.3,0.0,0.1634945,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.78,90.0,1.0,1.5,854000000.0,93.0,0.2,0.02,0.018000000000000002,0.0,0.0,4.9999999999999996e-06,500.0,100000.0,0.0225,590.0,0.00268,0,0.032,0.0,0.0,0.0,228200000.0,0.03,932600000.0,0.00025,0.01125,0.007,0,200.0,0,0.0225,0.0,0.005,0.1,0.0,0.0,0.0,0,773000000.0,0.03,b'251001_dmd0_iterative_compensation_pinning_12p.pkl',-1.4999999999999999e-05,300000000.0,0.03,0.03,200.0,1.0,0.02,450000000.0
596,596,2025/10/03 08:10:49,0,620000000.0,0.0,10.0,0.0,-6000000.0,0.1,0.01,2.9999999999999997e-05,0.0,0.03,0.0,550.0,0,0.04,1.0,2.5,0.875,9.999999999999999e-06,1.3,0.0,0.0225,0.0,0.0,0.7,0.05,0.48,0.0,0.035,0.975,0.174746,0.014,0.3,0.0,0.1634945,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.78,91.0,1.0,1.5,1010900000.0,93.0,0.2,0.02,0.018000000000000002,0.0,0.0,9.999999999999999e-06,610.0,100000.0,0.0225,590.0,0.00268,0,0.032,0.0,0.0,0.0,83506780.0,0.03,1088300000.0,0.00025,0.01125,0.007,0,200.0,0,0.0225,0.0,0.005,0.1,0.0,0.0,0.0,0,773000000.0,0.03,b'251001_dmd0_iterative_compensation_pinning_12p.pkl',-1.4999999999999999e-05,766000000.0,0.03,0.03,200.0,1.0,0.02,605500000.0
597,597,2025/10/03 08:11:06,0,620000000.0,0.0,10.0,0.0,-6000000.0,0.1,0.01,2.9999999999999997e-05,0.0,0.03,0.0,550.0,0,0.001,0.0,2.5,0.875,9.999999999999999e-06,1.3,0.0,0.0225,0.0,0.0,0.0,0.05,0.48,0.0,0.035,0.975,0.174746,0.014,0.3,0.0,0.1634945,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.78,92.0,1.0,1.5,854000000.0,93.0,0.2,0.02,0.018000000000000002,0.0,0.0,4.9999999999999996e-06,500.0,100000.0,0.0225,590.0,0.00268,0,0.032,0.0,0.0,0.0,228200000.0,0.03,932600000.0,0.00025,0.01125,0.007,0,200.0,0,0.0225,0.0,0.005,0.1,0.0,0.0,0.0,0,773000000.0,0.03,b'251001_dmd0_iterative_compensation_pinning_20n.pkl',-1.4999999999999999e-05,300000000.0,0.03,0.03,200.0,1.0,0.02,450000000.0
598,598,2025/10/03 08:11:22,0,620000000.0,0.0,10.0,0.0,-6000000.0,0.1,0.01,2.9999999999999997e-05,0.0,0.03,0.0,550.0,0,0.04,1.0,2.5,0.875,9.999999999999999e-06,1.3,0.0,0.0225,0.0,0.0,0.7,0.05,0.48,0.0,0.035,0.975,0.174746,0.014,0.3,0.0,0.1634945,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.78,93.0,1.0,1.5,1010900000.0,93.0,0.2,0.02,0.018000000000000002,0.0,0.0,9.999999999999999e-06,610.0,100000.0,0.0225,590.0,0.00268,0,0.032,0.0,0.0,0.0,83506780.0,0.03,1088300000.0,0.00025,0.01125,0.007,0,200.0,0,0.0225,0.0,0.005,0.1,0.0,0.0,0.0,0,773000000.0,0.03,b'251001_dmd0_iterative_compensation_pinning_20n.pkl',-1.4999999999999999e-05,766000000.0,0.03,0.03,200.0,1.0,0.02,605500000.0
599,599,2025/10/03 08:11:38,0,620000000.0,0.0,10.0,0.0,-6000000.0,0.1,0.01,2.9999999999999997e-05,0.0,0.03,0.0,550.0,0,0.001,0.0,2.5,0.875,9.999999999999999e-06,1.3,0.0,0.0225,0.0,0.0,0.0,0.05,0.48,0.0,0.035,0.975,0.174746,0.014,0.3,0.0,0.1634945,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.78,94.0,1.0,1.5,854000000.0,93.0,0.2,0.02,0.018000000000000002,0.0,0.0,4.9999999999999996e-06,500.0,100000.0,0.0225,590.0,0.00268,0,0.032,0.0,0.0,0.0,228200000.0,0.03,932600000.0,0.00025,0.01125,0.007,0,200.0,0,0.0225,0.0,0.005,0.1,0.0,0.0,0.0,0,773000000.0,0.03,b'251001_dmd0_iterative_compensation_pinning_20p.pkl',-1.4999999999999999e-05,300000000.0,0.03,0.03,200.0,1.0,0.02,450000000.0
600,600,2025/10/03 08:11:54,0,620000000.0,0.0,10.0,0.0,-6000000.0,0.1,0.01,2.9999999999999997e-05,0.0,0.03,0.0,550.0,0,0.04,1.0,2.5,0.875,9.999999999999999e-06,1.3,0.0,0.0225,0.0,0.0,0.7,0.05,0.48,0.0,0.035,0.975,0.174746,0.014,0.3,0.0,0.1634945,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.78,95.0,1.0,1.5,1010900000.0,93.0,0.2,0.02,0.018000000000000002,0.0,0.0,9.999999999999999e-06,610.0,100000.0,0.0225,590.0,0.00268,0,0.032,0.0,0.0,0.0,83506780.0,0.03,1088300000.0,0.00025,0.01125,0.007,0,200.0,0,0.0225,0.0,0.005,0.1,0.0,0.0,0.0,0,773000000.0,0.03,b'251001_dmd0_iterative_compensation_pinning_20p.pkl',-1.4999999999999999e-05,766000000.0,0.03,0.03,200.0,1.0,0.02,605500000.0
601,601,2025/10/03 08:12:10,0,620000000.0,0.0,10.0,0.0,-6000000.0,0.1,0.01,0.0001,0.0,0.03,0.0,550.0,0,0.001,0.0,2.5,0.875,9.999999999999999e-06,1.3,0.0,0.0225,0.0,0.0,0.0,0.05,0.48,0.0,0.035,0.975,0.174746,0.014,0.3,0.0,0.1634945,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.78,96.0,1.5,1.5,854000000.0,93.0,0.2,0.02,0.018000000000000002,0.0,0.0,4.9999999999999996e-06,500.0,100000.0,0.0225,590.0,1e-05,0,0.032,0.0,0.0,0.0,228200000.0,0.03,932600000.0,0.00025,0.01125,0.007,0,200.0,0,0.0225,0.0,0.005,0.1,0.0,0.0,0.0,1,730000000.0,0.03,b'default.pkl',-1.4999999999999999e-05,300000000.0,0.03,0.03,200.0,1.0,0.02,450000000.0
602,602,2025/10/03 08:12:26,0,620000000.0,0.0,10.0,0.0,-6000000.0,0.1,0.01,0.0001,0.0,0.03,0.0,550.0,0,0.04,1.0,2.5,0.875,9.999999999999999e-06,1.3,0.0,0.0225,0.0,0.0,0.7,0.05,0.48,0.0,0.035,0.975,0.174746,0.014,0.3,0.0,0.1634945,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.78,97.0,1.5,1.5,1010900000.0,93.0,0.2,0.02,0.018000000000000002,0.0,0.0,9.999999999999999e-06,610.0,100000.0,0.0225,590.0,1e-05,0,0.032,0.0,0.0,0.0,83506780.0,0.03,1088300000.0,0.00025,0.01125,0.007,0,200.0,0,0.0225,0.0,0.005,0.1,0.0,0.0,0.0,1,730000000.0,0.03,b'default.pkl',-1.4999999999999999e-05,766000000.0,0.03,0.03,200.0,1.0,0.02,605500000.0
603,603,2025/10/03 08:12:41,0,620000000.0,0.0,10.0,0.0,-6000000.0,0.1,0.01,2.9999999999999997e-05,0.0,0.03,0.0,550.0,0,0.001,2.0,2.5,0.875,9.999999999999999e-06,1.3,0.0,0.0225,0.0,0.0,0.7,0.05,0.48,0.0,0.035,0.975,0.174746,0.014,0.3,0.0,0.1634945,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.78,98.0,1.0,1.5,854000000.0,93.0,0.2,0.02,0.018000000000000002,0.0,0.0,4.9999999999999996e-06,500.0,100000.0,0.0225,590.0,0.00268,0,0.032,0.0,0.0,0.0,228200000.0,0.03,932600000.0,0.00025,0.01125,0.007,0,200.0,0,0.0225,0.0,0.005,0.1,0.0,0.0,0.0,0,773000000.0,0.03,b'251001_dmd0_iterative_compensation.pkl',-1.4999999999999999e-05,527000000.0,0.03,0.03,200.0,1.0,0.02,450000000.0
604,604,2025/10/03 08:12:57,0,620000000.0,0.0,10.0,0.0,-6000000.0,0.1,0.01,2.9999999999999997e-05,0.0,0.03,0.0,550.0,0,0.001,0.0,2.5,0.875,9.999999999999999e-06,1.3,0.0,0.0225,0.0,0.0,0.0,0.05,0.48,0.0,0.035,0.975,0.174746,0.014,0.3,0.0,0.1634945,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.78,99.0,1.0,1.5,854000000.0,93.0,0.2,0.02,0.018000000000000002,0.0,0.0,4.9999999999999996e-06,500.0,100000.0,0.0225,590.0,0.00268,0,0.032,0.0,0.0,0.0,228200000.0,0.03,932600000.0,0.00025,0.01125,0.007,0,200.0,0,0.0225,0.0,0.005,0.1,0.0,0.0,0.0,0,773000000.0,0.03,b'251001_dmd0_iterative_compensation.pkl',-1.4999999999999999e-05,300000000.0,0.03,0.03,200.0,1.0,0.02,450000000.0
605,605,2025/10/03 08:13:14,0,620000000.0,0.0,10.0,0.0,-6000000.0,0.1,0.01,2.9999999999999997e-05,0.0,0.03,0.0,550.0,0,0.001,1.0,2.5,0.875,9.999999999999999e-06,1.3,0.0,0.0225,0.0,0.0,0.7,0.05,0.48,0.0,0.035,0.975,0.174746,0.014,0.3,0.0,0.1634945,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.78,100.0,1.0,1.5,854000000.0,93.0,0.2,0.02,0.018000000000000002,0.0,0.0,4.9999999999999996e-06,500.0,100000.0,0.0225,590.0,0.00268,0,0.032,0.0,0.0,0.0,228200000.0,0.03,932600000.0,0.00025,0.01125,0.007,0,200.0,0,0.0225,0.0,0.005,0.1,0.0,0.0,0.0,0,773000000.0,0.03,b'251001_dmd0_iterative_compensation.pkl',-1.4999999999999999e-05,450000000.0,0.03,0.03,200.0,1.0,0.02,450000000.0
606,606,2025/10/03 08:13:30,0,620000000.0,0.0,10.0,0.0,-6000000.0,0.1,0.01,2.9999999999999997e-05,0.0,0.03,0.0,550.0,0,0.001,0.0,2.5,0.875,9.999999999999999e-06,1.3,0.0,0.0225,0.0,0.0,0.0,0.05,0.48,0.0,0.035,0.975,0.174746,0.014,0.3,0.0,0.1634945,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.78,0.0,1.0,1.5,854000000.0,93.0,0.2,0.02,0.018000000000000002,0.0,0.0,4.9999999999999996e-06,500.0,100000.0,0.0225,590.0,0.00268,0,0.032,0.0,0.0,0.0,228200000.0,0.03,932600000.0,0.00025,0.01125,0.007,0,200.0,0,0.0225,0.0,0.005,0.1,0.0,0.0,0.0,0,773000000.0,0.03,b'251001_dmd0_iterative_compensation_pinning_4n.pkl',-1.4999999999999999e-05,300000000.0,0.03,0.03,200.0,1.0,0.02,450000000.0
607,607,2025/10/03 08:13:46,0,620000000.0,0.0,10.0,0.0,-6000000.0,0.1,0.01,2.9999999999999997e-05,0.0,0.03,0.0,550.0,0,0.04,1.0,2.5,0.875,9.999999999999999e-06,1.3,0.0,0.0225,0.0,0.0,0.7,0.05,0.48,0.0,0.035,0.975,0.174746,0.014,0.3,0.0,0.1634945,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.78,1.0,1.0,1.5,1010900000.0,93.0,0.2,0.02,0.018000000000000002,0.0,0.0,9.999999999999999e-06,610.0,100000.0,0.0225,590.0,0.00268,0,0.032,0.0,0.0,0.0,83506780.0,0.03,1088300000.0,0.00025,0.01125,0.007,0,200.0,0,0.0225,0.0,0.005,0.1,0.0,0.0,0.0,0,773000000.0,0.03,b'251001_dmd0_iterative_compensation_pinning_4n.pkl',-1.4999999999999999e-05,766000000.0,0.03,0.03,200.0,1.0,0.02,605500000.0
608,608,2025/10/03 08:14:02,0,620000000.0,0.0,10.0,0.0,-6000000.0,0.1,0.01,2.9999999999999997e-05,0.0,0.03,0.0,550.0,0,0.001,0.0,2.5,0.875,9.999999999999999e-06,1.3,0.0,0.0225,0.0,0.0,0.0,0.05,0.48,0.0,0.035,0.975,0.174746,0.014,0.3,0.0,0.1634945,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.78,2.0,1.0,1.5,854000000.0,93.0,0.2,0.02,0.018000000000000002,0.0,0.0,4.9999999999999996e-06,500.0,100000.0,0.0225,590.0,0.00268,0,0.032,0.0,0.0,0.0,228200000.0,0.03,932600000.0,0.00025,0.01125,0.007,0,200.0,0,0.0225,0.0,0.005,0.1,0.0,0.0,0.0,0,773000000.0,0.03,b'251001_dmd0_iterative_compensation_pinning_4p.pkl',-1.4999999999999999e-05,300000000.0,0.03,0.03,200.0,1.0,0.02,450000000.0
609,609,2025/10/03 08:14:18,0,620000000.0,0.0,10.0,0.0,-6000000.0,0.1,0.01,2.9999999999999997e-05,0.0,0.03,0.0,550.0,0,0.04,1.0,2.5,0.875,9.999999999999999e-06,1.3,0.0,0.0225,0.0,0.0,0.7,0.05,0.48,0.0,0.035,0.975,0.174746,0.014,0.3,0.0,0.1634945,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.78,3.0,1.0,1.5,1010900000.0,93.0,0.2,0.02,0.018000000000000002,0.0,0.0,9.999999999999999e-06,610.0,100000.0,0.0225,590.0,0.00268,0,0.032,0.0,0.0,0.0,83506780.0,0.03,1088300000.0,0.00025,0.01125,0.007,0,200.0,0,0.0225,0.0,0.005,0.1,0.0,0.0,0.0,0,773000000.0,0.03,b'251001_dmd0_iterative_compensation_pinning_4p.pkl',-1.4999999999999999e-05,766000000.0,0.03,0.03,200.0,1.0,0.02,605500000.0
610,610,2025/10/03 08:14:35,0,620000000.0,0.0,10.0,0.0,-6000000.0,0.1,0.01,2.9999999999999997e-05,0.0,0.03,0.0,550.0,0,0.001,0.0,2.5,0.875,9.999999999999999e-06,1.3,0.0,0.0225,0.0,0.0,0.0,0.05,0.48,0.0,0.035,0.975,0.174746,0.014,0.3,0.0,0.1634945,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.78,4.0,1.0,1.5,854000000.0,93.0,0.2,0.02,0.018000000000000002,0.0,0.0,4.9999999999999996e-06,500.0,100000.0,0.0225,590.0,0.00268,0,0.032,0.0,0.0,0.0,228200000.0,0.03,932600000.0,0.00025,0.01125,0.007,0,200.0,0,0.0225,0.0,0.005,0.1,0.0,0.0,0.0,0,773000000.0,0.03,b'251001_dmd0_iterative_compensation_pinning_6n.pkl',-1.4999999999999999e-05,300000000.0,0.03,0.03,200.0,1.0,0.02,450000000.0
611,611,2025/10/03 08:14:51,0,620000000.0,0.0,10.0,0.0,-6000000.0,0.1,0.01,2.9999999999999997e-05,0.0,0.03,0.0,550.0,0,0.04,1.0,2.5,0.875,9.999999999999999e-06,1.3,0.0,0.0225,0.0,0.0,0.7,0.05,0.48,0.0,0.035,0.975,0.174746,0.014,0.3,0.0,0.1634945,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.78,5.0,1.0,1.5,1010900000.0,93.0,0.2,0.02,0.018000000000000002,0.0,0.0,9.999999999999999e-06,610.0,100000.0,0.0225,590.0,0.00268,0,0.032,0.0,0.0,0.0,83506780.0,0.03,1088300000.0,0.00025,0.01125,0.007,0,200.0,0,0.0225,0.0,0.005,0.1,0.0,0.0,0.0,0,773000000.0,0.03,b'251001_dmd0_iterative_compensation_pinning_6n.pkl',-1.4999999999999999e-05,766000000.0,0.03,0.03,200.0,1.0,0.02,605500000.0
612,612,2025/10/03 08:15:07,0,620000000.0,0.0,10.0,0.0,-6000000.0,0.1,0.01,2.9999999999999997e-05,0.0,0.03,0.0,550.0,0,0.001,0.0,2.5,0.875,9.999999999999999e-06,1.3,0.0,0.0225,0.0,0.0,0.0,0.05,0.48,0.0,0.035,0.975,0.174746,0.014,0.3,0.0,0.1634945,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.78,6.0,1.0,1.5,854000000.0,93.0,0.2,0.02,0.018000000000000002,0.0,0.0,4.9999999999999996e-06,500.0,100000.0,0.0225,590.0,0.00268,0,0.032,0.0,0.0,0.0,228200000.0,0.03,932600000.0,0.00025,0.01125,0.007,0,200.0,0,0.0225,0.0,0.005,0.1,0.0,0.0,0.0,0,773000000.0,0.03,b'251001_dmd0_iterative_compensation_pinning_6p.pkl',-1.4999999999999999e-05,300000000.0,0.03,0.03,200.0,1.0,0.02,450000000.0
613,613,2025/10/03 08:15:23,0,620000000.0,0.0,10.0,0.0,-6000000.0,0.1,0.01,2.9999999999999997e-05,0.0,0.03,0.0,550.0,0,0.04,1.0,2.5,0.875,9.999999999999999e-06,1.3,0.0,0.0225,0.0,0.0,0.7,0.05,0.48,0.0,0.035,0.975,0.174746,0.014,0.3,0.0,0.1634945,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.78,7.000000000000001,1.0,1.5,1010900000.0,93.0,0.2,0.02,0.018000000000000002,0.0,0.0,9.999999999999999e-06,610.0,100000.0,0.0225,590.0,0.00268,0,0.032,0.0,0.0,0.0,83506780.0,0.03,1088300000.0,0.00025,0.01125,0.007,0,200.0,0,0.0225,0.0,0.005,0.1,0.0,0.0,0.0,0,773000000.0,0.03,b'251001_dmd0_iterative_compensation_pinning_6p.pkl',-1.4999999999999999e-05,766000000.0,0.03,0.03,200.0,1.0,0.02,605500000.0
614,614,2025/10/03 08:15:40,0,620000000.0,0.0,10.0,0.0,-6000000.0,0.1,0.01,2.9999999999999997e-05,0.0,0.03,0.0,550.0,0,0.001,0.0,2.5,0.875,9.999999999999999e-06,1.3,0.0,0.0225,0.0,0.0,0.0,0.05,0.48,0.0,0.035,0.975,0.174746,0.014,0.3,0.0,0.1634945,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.78,8.0,1.0,1.5,854000000.0,93.0,0.2,0.02,0.018000000000000002,0.0,0.0,4.9999999999999996e-06,500.0,100000.0,0.0225,590.0,0.00268,0,0.032,0.0,0.0,0.0,228200000.0,0.03,932600000.0,0.00025,0.01125,0.007,0,200.0,0,0.0225,0.0,0.005,0.1,0.0,0.0,0.0,0,773000000.0,0.03,b'251001_dmd0_iterative_compensation_pinning_8n.pkl',-1.4999999999999999e-05,300000000.0,0.03,0.03,200.0,1.0,0.02,450000000.0
615,615,2025/10/03 08:15:55,0,620000000.0,0.0,10.0,0.0,-6000000.0,0.1,0.01,2.9999999999999997e-05,0.0,0.03,0.0,550.0,0,0.04,1.0,2.5,0.875,9.999999999999999e-06,1.3,0.0,0.0225,0.0,0.0,0.7,0.05,0.48,0.0,0.035,0.975,0.174746,0.014,0.3,0.0,0.1634945,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.78,9.0,1.0,1.5,1010900000.0,93.0,0.2,0.02,0.018000000000000002,0.0,0.0,9.999999999999999e-06,610.0,100000.0,0.0225,590.0,0.00268,0,0.032,0.0,0.0,0.0,83506780.0,0.03,1088300000.0,0.00025,0.01125,0.007,0,200.0,0,0.0225,0.0,0.005,0.1,0.0,0.0,0.0,0,773000000.0,0.03,b'251001_dmd0_iterative_compensation_pinning_8n.pkl',-1.4999999999999999e-05,766000000.0,0.03,0.03,200.0,1.0,0.02,605500000.0
616,616,2025/10/03 08:16:12,0,620000000.0,0.0,10.0,0.0,-6000000.0,0.1,0.01,2.9999999999999997e-05,0.0,0.03,0.0,550.0,0,0.001,0.0,2.5,0.875,9.999999999999999e-06,1.3,0.0,0.0225,0.0,0.0,0.0,0.05,0.48,0.0,0.035,0.975,0.174746,0.014,0.3,0.0,0.1634945,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.78,10.0,1.0,1.5,854000000.0,93.0,0.2,0.02,0.018000000000000002,0.0,0.0,4.9999999999999996e-06,500.0,100000.0,0.0225,590.0,0.00268,0,0.032,0.0,0.0,0.0,228200000.0,0.03,932600000.0,0.00025,0.01125,0.007,0,200.0,0,0.0225,0.0,0.005,0.1,0.0,0.0,0.0,0,773000000.0,0.03,b'251001_dmd0_iterative_compensation_pinning_8p.pkl',-1.4999999999999999e-05,300000000.0,0.03,0.03,200.0,1.0,0.02,450000000.0
617,617,2025/10/03 08:16:28,0,620000000.0,0.0,10.0,0.0,-6000000.0,0.1,0.01,2.9999999999999997e-05,0.0,0.03,0.0,550.0,0,0.04,1.0,2.5,0.875,9.999999999999999e-06,1.3,0.0,0.0225,0.0,0.0,0.7,0.05,0.48,0.0,0.035,0.975,0.174746,0.014,0.3,0.0,0.1634945,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.78,11.0,1.0,1.5,1010900000.0,93.0,0.2,0.02,0.018000000000000002,0.0,0.0,9.999999999999999e-06,610.0,100000.0,0.0225,590.0,0.00268,0,0.032,0.0,0.0,0.0,83506780.0,0.03,1088300000.0,0.00025,0.01125,0.007,0,200.0,0,0.0225,0.0,0.005,0.1,0.0,0.0,0.0,0,773000000.0,0.03,b'251001_dmd0_iterative_compensation_pinning_8p.pkl',-1.4999999999999999e-05,766000000.0,0.03,0.03,200.0,1.0,0.02,605500000.0
618,618,2025/10/03 08:16:44,0,620000000.0,0.0,10.0,0.0,-6000000.0,0.1,0.01,2.9999999999999997e-05,0.0,0.03,0.0,550.0,0,0.001,0.0,2.5,0.875,9.999999999999999e-06,1.3,0.0,0.0225,0.0,0.0,0.0,0.05,0.48,0.0,0.035,0.975,0.174746,0.014,0.3,0.0,0.1634945,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.78,12.0,1.0,1.5,854000000.0,93.0,0.2,0.02,0.018000000000000002,0.0,0.0,4.9999999999999996e-06,500.0,100000.0,0.0225,590.0,0.00268,0,0.032,0.0,0.0,0.0,228200000.0,0.03,932600000.0,0.00025,0.01125,0.007,0,200.0,0,0.0225,0.0,0.005,0.1,0.0,0.0,0.0,0,773000000.0,0.03,b'251001_dmd0_iterative_compensation_pinning_10n.pkl',-1.4999999999999999e-05,300000000.0,0.03,0.03,200.0,1.0,0.02,450000000.0
