shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.NematicLatticeModulationFrequency,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionInitialPower,GlobalImagingVariables2.SecondSpinBlowOutPulseOneHalfExtAmplitude,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.ImagingLatticeFreezeTime,LocalVariables.DMDID,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.LatticeFreezePhysicsNorthwestPower,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.PhysicsSplitYInitialPower,LocalVariables.ShotTypeID,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.NematicLatticeModulationPostHoldTime,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalImagingVariables2.SecondSpinBlowOutPulsePulseWidth,GlobalImagingVariables2.SecondSpinBlowOutPulseDetuning,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.NematicLatticeModulationTime,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalImagingVariables2.SecondSpinBlowOutPulseThreeHalvesExtAmplitude,GlobalImagingVariables2.FifthSpinBlowOutPulseDetuning,GlobalMotVariables2.MotDetuningCompressed,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalImagingVariables2.SpinBlowNorthwestPower,GlobalLatticeVariables2.NematicLatticeModulationPreHoldTime,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,LocalVariables.XbarFrequency,GlobalScienceChamberEvaporationVariables2.AccordionCompressionDimplePower,GlobalLatticeVariables2.LoadingGradientRadialLoadingField,GlobalImagingVariables2.SecondSpinBlowOutPulseMagneticField,GlobalLatticeVariables2.LatticeFreezeNorthwestPower,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.Dmd1PatternFilename,LocalVariables.DMDID2,GlobalImagingVariables2.SpinBlowOutPulsePulseWidth,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampDelayTime,GlobalLatticeVariables2.IsNematicLatticeModulation,GlobalImagingVariables2.SpinBlowOutPulseDetuning,GlobalLatticeVariables2.LatticeFreezeVerticalPower,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.LoadingGradientNorthwestInitialPower,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.NematicLatticeModulationXbarPhase,GlobalMotVariables2.MotExtAmplitudeCompressed,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.SecondDMD1RampTime,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalImagingVariables2.ThirdSpinBlowOutPulseDetuning,LocalVariables.ScanID5,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionFinalPower,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampWaitTime,GlobalMotVariables2.MotRepumpExtAmplitudeCompressed,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,LocalVariables.ScanID4,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalImagingVariables2.FourthSpinBlowOutPulseDetuning
10,10,2025/06/11 08:56:01,200.0,0.001,2.5,0.7,228200000.0,0.02,0.0,0.0,1.0,0.022,0.1634945,10.0,0.0,b'250610_dmd0_dense_compensation_pinning_0.48_1.0_8_30k.pkl',0.0,0.029,9.999999999999999e-06,450000000.0,1.0,0.03,0.009000000000000001,10.0,0.0,620000000.0,-6000000.0,0.1,1.5,0.0,590.0,773000000.0,0.3,550.0,500.0,1.3,0.0125,0.174746,0.018000000000000002,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.0,4.9999999999999996e-06,0.2,0.0016,-1.4999999999999999e-05,0,450000000.0,0.0,2.9999999999999997e-05,0.0125,0.05,0.975,0.03,0.0,0.78,93.0,0.0125,0,0.02,0.009380000000000001,932600000.0,0.0,100000.0,1.0,0.0,0.48,0.033,0.0,0.005,854000000.0
11,11,2025/06/11 08:56:17,200.0,0.001,2.5,0.7,228200000.0,0.02,0.0,0.0,1.0,0.022,0.1634945,11.0,0.0,b'250610_dmd0_dense_compensation_pinning_0.48_1.0_8_30k.pkl',0.0,0.029,9.999999999999999e-06,527000000.0,2.0,0.03,0.009000000000000001,10.0,0.0,620000000.0,-6000000.0,0.1,1.5,0.0,590.0,773000000.0,0.3,550.0,500.0,1.3,0.0125,0.174746,0.018000000000000002,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.0,4.9999999999999996e-06,0.2,0.0016,-1.4999999999999999e-05,0,450000000.0,0.0,2.9999999999999997e-05,0.0125,0.05,0.975,0.03,0.0,0.78,93.0,0.0125,0,0.02,0.009380000000000001,932600000.0,0.0,100000.0,1.0,0.0,0.48,0.033,0.0,0.005,854000000.0
12,12,2025/06/11 08:56:34,200.0,0.001,2.5,0.7,228200000.0,0.02,0.0,0.0,1.0,0.022,0.1634945,12.0,0.0,b'250610_dmd0_dense_compensation_pinning_0.48_1.0_8_30k.pkl',0.0,0.029,9.999999999999999e-06,450000000.0,1.0,0.03,0.009000000000000001,10.0,0.0,620000000.0,-6000000.0,0.1,1.5,0.0,590.0,773000000.0,0.3,550.0,500.0,1.3,0.0125,0.174746,0.018000000000000002,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.0,4.9999999999999996e-06,0.2,0.0016,-1.4999999999999999e-05,0,450000000.0,0.0,2.9999999999999997e-05,0.0125,0.05,0.975,0.03,0.0,0.78,93.0,0.0125,0,0.02,0.009380000000000001,932600000.0,0.0,100000.0,1.0,0.0,0.48,0.033,0.0,0.005,854000000.0
13,13,2025/06/11 08:56:51,200.0,0.001,2.5,0.7,228200000.0,0.02,0.0,0.0,1.0,0.022,0.1634945,13.0,0.0,b'250610_dmd0_dense_compensation_pinning_0.48_1.0_8_30k.pkl',0.0,0.029,9.999999999999999e-06,527000000.0,2.0,0.03,0.009000000000000001,10.0,0.0,620000000.0,-6000000.0,0.1,1.5,0.0,590.0,773000000.0,0.3,550.0,500.0,1.3,0.0125,0.174746,0.018000000000000002,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.0,4.9999999999999996e-06,0.2,0.0016,-1.4999999999999999e-05,0,450000000.0,0.0,2.9999999999999997e-05,0.0125,0.05,0.975,0.03,0.0,0.78,93.0,0.0125,0,0.02,0.009380000000000001,932600000.0,0.0,100000.0,1.0,0.0,0.48,0.033,0.0,0.005,854000000.0
14,14,2025/06/11 08:57:07,200.0,0.001,2.5,0.7,228200000.0,0.02,0.0,0.0,1.0,0.022,0.1634945,14.0,0.0,b'250610_dmd0_dense_compensation_pinning_0.48_1.0_8_30k.pkl',0.0,0.029,9.999999999999999e-06,450000000.0,1.0,0.03,0.009000000000000001,10.0,0.0,620000000.0,-6000000.0,0.1,1.5,0.0,590.0,773000000.0,0.3,550.0,500.0,1.3,0.0125,0.174746,0.018000000000000002,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.0,4.9999999999999996e-06,0.2,0.0016,-1.4999999999999999e-05,0,450000000.0,0.0,2.9999999999999997e-05,0.0125,0.05,0.975,0.03,0.0,0.78,93.0,0.0125,0,0.02,0.009380000000000001,932600000.0,0.0,100000.0,1.0,0.0,0.48,0.033,0.0,0.005,854000000.0
15,15,2025/06/11 08:57:24,200.0,0.001,2.5,0.7,228200000.0,0.02,0.0,0.0,1.0,0.022,0.1634945,15.0,0.0,b'250610_dmd0_dense_compensation_pinning_0.48_1.0_8_30k.pkl',0.0,0.029,9.999999999999999e-06,527000000.0,2.0,0.03,0.009000000000000001,10.0,0.0,620000000.0,-6000000.0,0.1,1.5,0.0,590.0,773000000.0,0.3,550.0,500.0,1.3,0.0125,0.174746,0.018000000000000002,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.0,4.9999999999999996e-06,0.2,0.0016,-1.4999999999999999e-05,0,450000000.0,0.0,2.9999999999999997e-05,0.0125,0.05,0.975,0.03,0.0,0.78,93.0,0.0125,0,0.02,0.009380000000000001,932600000.0,0.0,100000.0,1.0,0.0,0.48,0.033,0.0,0.005,854000000.0
16,16,2025/06/11 08:57:41,200.0,0.001,2.5,0.7,228200000.0,0.02,0.0,0.0,1.0,0.022,0.1634945,16.0,0.0,b'250610_dmd0_dense_compensation_pinning_0.48_1.0_8_30k.pkl',0.0,0.029,9.999999999999999e-06,450000000.0,1.0,0.03,0.009000000000000001,10.0,0.0,620000000.0,-6000000.0,0.1,1.5,0.0,590.0,773000000.0,0.3,550.0,500.0,1.3,0.0125,0.174746,0.018000000000000002,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.0,4.9999999999999996e-06,0.2,0.0016,-1.4999999999999999e-05,0,450000000.0,0.0,2.9999999999999997e-05,0.0125,0.05,0.975,0.03,0.0,0.78,93.0,0.0125,0,0.02,0.009380000000000001,932600000.0,0.0,100000.0,1.0,0.0,0.48,0.033,0.0,0.005,854000000.0
17,17,2025/06/11 08:57:58,200.0,0.001,2.5,0.7,228200000.0,0.02,0.0,0.0,1.0,0.022,0.1634945,17.0,0.0,b'250610_dmd0_dense_compensation_pinning_0.48_1.0_8_30k.pkl',0.0,0.029,9.999999999999999e-06,527000000.0,2.0,0.03,0.009000000000000001,10.0,0.0,620000000.0,-6000000.0,0.1,1.5,0.0,590.0,773000000.0,0.3,550.0,500.0,1.3,0.0125,0.174746,0.018000000000000002,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.0,4.9999999999999996e-06,0.2,0.0016,-1.4999999999999999e-05,0,450000000.0,0.0,2.9999999999999997e-05,0.0125,0.05,0.975,0.03,0.0,0.78,93.0,0.0125,0,0.02,0.009380000000000001,932600000.0,0.0,100000.0,1.0,0.0,0.48,0.033,0.0,0.005,854000000.0
18,18,2025/06/11 08:58:15,200.0,0.001,2.5,0.0,228200000.0,0.02,0.0,0.0,1.0,0.022,0.1634945,18.0,0.0,b'250610_dmd0_dense_compensation_pinning_0.48_1.0_8_30k.pkl',0.0,0.029,9.999999999999999e-06,300000000.0,0.0,0.03,0.009000000000000001,10.0,0.0,620000000.0,-6000000.0,0.1,1.5,0.0,590.0,773000000.0,0.3,550.0,500.0,1.3,0.0125,0.174746,0.018000000000000002,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.0,4.9999999999999996e-06,0.2,0.0018000000000000002,-1.4999999999999999e-05,0,450000000.0,0.0,2.9999999999999997e-05,0.0125,0.05,0.975,0.03,0.0,0.78,93.0,0.0125,0,0.02,0.009380000000000001,932600000.0,0.0,100000.0,1.0,0.0,0.48,0.033,0.0,0.005,854000000.0
19,19,2025/06/11 08:58:31,200.0,0.001,2.5,0.7,228200000.0,0.02,0.0,0.0,1.0,0.022,0.1634945,19.0,0.0,b'250610_dmd0_dense_compensation_pinning_0.48_1.0_8_30k.pkl',0.0,0.029,9.999999999999999e-06,527000000.0,2.0,0.03,0.009000000000000001,10.0,0.0,620000000.0,-6000000.0,0.1,1.5,0.0,590.0,773000000.0,0.3,550.0,500.0,1.3,0.0125,0.174746,0.018000000000000002,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.0,4.9999999999999996e-06,0.2,0.0018000000000000002,-1.4999999999999999e-05,0,450000000.0,0.0,2.9999999999999997e-05,0.0125,0.05,0.975,0.03,0.0,0.78,93.0,0.0125,0,0.02,0.009380000000000001,932600000.0,0.0,100000.0,1.0,0.0,0.48,0.033,0.0,0.005,854000000.0
20,20,2025/06/11 08:58:48,200.0,0.001,2.5,0.7,228200000.0,0.02,0.0,0.0,1.0,0.022,0.1634945,20.0,0.0,b'250610_dmd0_dense_compensation_pinning_0.48_1.0_8_30k.pkl',0.0,0.029,9.999999999999999e-06,450000000.0,1.0,0.03,0.009000000000000001,10.0,0.0,620000000.0,-6000000.0,0.1,1.5,0.0,590.0,773000000.0,0.3,550.0,500.0,1.3,0.0125,0.174746,0.018000000000000002,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.0,4.9999999999999996e-06,0.2,0.0018000000000000002,-1.4999999999999999e-05,0,450000000.0,0.0,2.9999999999999997e-05,0.0125,0.05,0.975,0.03,0.0,0.78,93.0,0.0125,0,0.02,0.009380000000000001,932600000.0,0.0,100000.0,1.0,0.0,0.48,0.033,0.0,0.005,854000000.0
21,21,2025/06/11 08:59:05,200.0,0.001,2.5,0.7,228200000.0,0.02,0.0,0.0,1.0,0.022,0.1634945,21.0,0.0,b'250610_dmd0_dense_compensation_pinning_0.48_1.0_8_30k.pkl',0.0,0.029,9.999999999999999e-06,527000000.0,2.0,0.03,0.009000000000000001,10.0,0.0,620000000.0,-6000000.0,0.1,1.5,0.0,590.0,773000000.0,0.3,550.0,500.0,1.3,0.0125,0.174746,0.018000000000000002,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.0,4.9999999999999996e-06,0.2,0.0018000000000000002,-1.4999999999999999e-05,0,450000000.0,0.0,2.9999999999999997e-05,0.0125,0.05,0.975,0.03,0.0,0.78,93.0,0.0125,0,0.02,0.009380000000000001,932600000.0,0.0,100000.0,1.0,0.0,0.48,0.033,0.0,0.005,854000000.0
22,22,2025/06/11 08:59:21,200.0,0.001,2.5,0.7,228200000.0,0.02,0.0,0.0,1.0,0.022,0.1634945,22.0,0.0,b'250610_dmd0_dense_compensation_pinning_0.48_1.0_8_30k.pkl',0.0,0.029,9.999999999999999e-06,450000000.0,1.0,0.03,0.009000000000000001,10.0,0.0,620000000.0,-6000000.0,0.1,1.5,0.0,590.0,773000000.0,0.3,550.0,500.0,1.3,0.0125,0.174746,0.018000000000000002,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.0,4.9999999999999996e-06,0.2,0.0018000000000000002,-1.4999999999999999e-05,0,450000000.0,0.0,2.9999999999999997e-05,0.0125,0.05,0.975,0.03,0.0,0.78,93.0,0.0125,0,0.02,0.009380000000000001,932600000.0,0.0,100000.0,1.0,0.0,0.48,0.033,0.0,0.005,854000000.0
23,23,2025/06/11 08:59:38,200.0,0.001,2.5,0.7,228200000.0,0.02,0.0,0.0,1.0,0.022,0.1634945,23.0,0.0,b'250610_dmd0_dense_compensation_pinning_0.48_1.0_8_30k.pkl',0.0,0.029,9.999999999999999e-06,527000000.0,2.0,0.03,0.009000000000000001,10.0,0.0,620000000.0,-6000000.0,0.1,1.5,0.0,590.0,773000000.0,0.3,550.0,500.0,1.3,0.0125,0.174746,0.018000000000000002,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.0,4.9999999999999996e-06,0.2,0.0018000000000000002,-1.4999999999999999e-05,0,450000000.0,0.0,2.9999999999999997e-05,0.0125,0.05,0.975,0.03,0.0,0.78,93.0,0.0125,0,0.02,0.009380000000000001,932600000.0,0.0,100000.0,1.0,0.0,0.48,0.033,0.0,0.005,854000000.0
