shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,LocalVariables.DMDID2,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,LocalVariables.ShotTypeID,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.Dmd0SecondPatternFilename,LocalVariables.ScanID4,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,LocalVariables.XbarFrequency,GlobalPulseVariables2.LatticeMicrowaveDuration,LocalVariables.DMDID,GlobalLatticeVariables2.LoadWithDmd0InitialPower
49,49,2025/03/22 16:01:32,14.0,0.0,93.0,30.0,7.26,0.975,174.746,35.0,22.0,4.0,30.0,100.0,163.4945,0,2.6,18.0,228.2,200.0,10.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,14.0,100.0,0.0,590.0,10.0,12.0,5.0,773.0,1.0,0.0,28.0
50,50,2025/03/22 16:01:50,14.0,0.0,93.0,30.0,7.26,0.975,174.746,35.0,22.0,5.0,30.0,100.0,163.4945,0,2.6,18.0,228.2,200.0,10.0,0.0,2.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,14.0,100.0,0.0,590.0,10.0,12.0,5.0,773.0,1.0,0.0,28.0
51,51,2025/03/22 16:02:08,14.0,0.0,93.0,30.0,7.26,0.975,174.746,35.0,22.0,6.0,30.0,100.0,163.4945,0,2.6,18.0,228.2,200.0,10.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,14.0,100.0,0.0,590.0,10.0,12.0,5.0,773.0,1.0,0.0,28.0
52,52,2025/03/22 16:02:26,14.0,0.0,93.0,30.0,7.26,0.975,174.746,35.0,22.0,7.0,30.0,100.0,163.4945,0,2.6,18.0,228.2,200.0,10.0,0.0,2.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,14.0,100.0,0.0,590.0,10.0,12.0,5.0,773.0,1.0,0.0,28.0
53,53,2025/03/22 16:02:44,14.0,0.0,93.0,30.0,7.26,0.975,174.746,35.0,22.0,8.0,30.0,100.0,163.4945,0,2.6,18.0,228.2,200.0,10.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,14.0,100.0,0.0,590.0,10.0,12.0,5.0,773.0,1.0,0.0,28.0
54,54,2025/03/22 16:03:02,14.0,0.0,93.0,30.0,7.26,0.975,174.746,35.0,22.0,0.0,30.0,100.0,163.4945,0,2.6,18.0,228.2,200.0,10.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,14.0,100.0,0.0,590.0,10.0,12.0,5.0,773.0,1.0,0.0,28.0
55,55,2025/03/22 16:03:20,14.0,0.0,93.0,30.0,7.26,0.975,174.746,35.0,22.0,1.0,30.0,100.0,163.4945,0,2.6,18.0,228.2,200.0,10.0,0.0,2.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,14.0,100.0,0.0,590.0,10.0,12.0,5.0,773.0,1.0,0.0,28.0
56,56,2025/03/22 16:03:38,14.0,0.0,93.0,30.0,7.26,0.975,174.746,35.0,22.0,2.0,30.0,100.0,163.4945,0,2.6,18.0,228.2,200.0,10.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,14.0,100.0,0.0,590.0,10.0,12.0,5.0,773.0,1.0,0.0,28.0
57,57,2025/03/22 16:03:57,14.0,0.0,93.0,30.0,7.26,0.975,174.746,35.0,22.0,3.0,30.0,100.0,163.4945,0,2.6,18.0,228.2,200.0,10.0,0.0,2.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,14.0,100.0,0.0,590.0,10.0,12.0,5.0,773.0,1.0,0.0,28.0
58,58,2025/03/22 16:04:15,14.0,0.0,93.0,30.0,7.26,0.975,174.746,35.0,22.0,4.0,30.0,100.0,163.4945,0,2.6,18.0,228.2,200.0,10.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,14.0,100.0,0.0,590.0,10.0,12.0,5.0,773.0,1.0,0.0,28.0
