shot_idx,shot_serial,shot_start_time,GlobalImagingVariables2.SpinBlowOutPulseDetuning,GlobalMotVariables2.MotRepumpExtAmplitudeCompressed,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalImagingVariables2.FifthSpinBlowOutPulseDetuning,LocalVariables.ScanID5,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalPulseVariables2.LatticeMicrowaveDuration,LocalVariables.ShotTypeID,GlobalImagingVariables2.SecondSpinBlowOutPulseMagneticField,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.LoadingGradientNorthwestInitialPower,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.NematicLatticeModulationXbarPhase,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalImagingVariables2.SecondSpinBlowOutPulseDetuning,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalMotVariables2.MotDetuningCompressed,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampWaitTime,GlobalLatticeVariables2.SecondDMD1RampTime,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalMotVariables2.MotExtAmplitudeCompressed,GlobalImagingVariables2.SpinBlowNorthwestPower,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.LatticeFreezeNorthwestPower,GlobalLatticeVariables2.IsNematicLatticeModulation,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampDelayTime,GlobalLatticeVariables2.Dmd1PatternFilename,GlobalLatticeVariables2.NematicLatticeModulationFrequency,GlobalLatticeVariables2.ImagingLatticeFreezeTime,LocalVariables.ImagingBlowOutID,GlobalScienceChamberEvaporationVariables2.AccordionCompressionDimplePower,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,LocalVariables.ScanID4,GlobalLatticeVariables2.LatticeFreezeVerticalPower,GlobalImagingVariables2.FourthSpinBlowOutPulseDetuning,GlobalLatticeVariables2.IsImageBIFormation,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalImagingVariables2.SecondSpinBlowOutPulseThreeHalvesExtAmplitude,GlobalImagingVariables2.SpinBlowOutPulsePulseWidth,GlobalImagingVariables2.SecondSpinBlowOutPulsePulseWidth,GlobalLatticeVariables2.NematicLatticeModulationPreHoldTime,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionFinalPower,GlobalLatticeVariables2.LatticeFreezePhysicsNorthwestPower,GlobalImagingVariables2.SecondSpinBlowOutPulseOneHalfExtAmplitude,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionInitialPower,GlobalPulseVariables2.LatticeMicrowaveFrequency,LocalVariables.XbarFrequency,GlobalLatticeVariables2.LoadWithDmd0InitialPower,LocalVariables.DMDID2,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.NematicLatticeModulationTime,GlobalLatticeVariables2.NematicLatticeModulationPostHoldTime,GlobalLatticeVariables2.LoadingGradientRadialLoadingField,GlobalImagingVariables2.ThirdSpinBlowOutPulseDetuning,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent
10,10,2025/06/18 14:18:34,450000000.0,0.48,0.018000000000000002,620000000.0,0.0,0.0,0.009000000000000001,590.0,0.001,10.0,500.0,0.0125,100000.0,2.9999999999999997e-05,0.0125,0.05,0,0.0,0.1,300000000.0,10.0,0.0,-6000000.0,0.0,0.02,0.975,0.1634945,0.78,1.5,0.022,1.3,0,-1.4999999999999999e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',200.0,0.02,0.0,0.3,0.002,0.2,0.0,0.0,854000000.0,0,0.005,0.0,4.9999999999999996e-06,9.999999999999999e-06,0.0,0.033,1.0,1.0,0.0,b'250615_dmd0_iterative_compensation_pinning.pkl',2.5,228200000.0,773000000.0,0.029,0.0,0.0125,0.03,0.0,550.0,932600000.0,0.174746,0.01125,0.03,93.0
11,11,2025/06/18 14:18:51,605500000.0,0.48,0.018000000000000002,620000000.0,0.0,0.0,0.009000000000000001,590.0,0.04,11.0,610.0,0.0125,100000.0,2.9999999999999997e-05,0.0125,0.05,0,0.0,0.1,766000000.0,10.0,0.0,-6000000.0,0.0,0.02,0.975,0.1634945,0.78,1.5,0.022,1.3,0,-1.4999999999999999e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',200.0,0.02,1.0,0.3,0.002,0.2,0.0,0.0,1010900000.0,0,0.005,0.0,9.999999999999999e-06,9.999999999999999e-06,0.0,0.033,1.0,1.0,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',2.5,83506780.0,773000000.0,0.029,0.0,0.0125,0.03,0.0,550.0,1088300000.0,0.174746,0.01125,0.03,93.0
12,12,2025/06/18 14:19:07,450000000.0,0.48,0.018000000000000002,620000000.0,0.0,0.0,0.009000000000000001,590.0,0.001,12.0,500.0,0.0125,100000.0,2.9999999999999997e-05,0.0125,0.05,0,0.0,0.1,450000000.0,10.0,0.0,-6000000.0,0.0,0.02,0.975,0.1634945,0.78,1.5,0.022,1.3,0,-1.4999999999999999e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',200.0,0.02,1.0,0.3,0.002,0.2,0.0,0.0,854000000.0,0,0.005,0.0,4.9999999999999996e-06,9.999999999999999e-06,0.0,0.033,1.0,1.0,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',2.5,228200000.0,773000000.0,0.029,0.0,0.0125,0.03,0.0,550.0,932600000.0,0.174746,0.01125,0.03,93.0
13,13,2025/06/18 14:19:28,450000000.0,0.48,0.018000000000000002,620000000.0,0.0,0.0,0.009000000000000001,590.0,0.001,13.0,500.0,0.0125,100000.0,2.9999999999999997e-05,0.0125,0.05,0,0.0,0.1,527000000.0,10.0,0.0,-6000000.0,0.0,0.02,0.975,0.1634945,0.78,1.5,0.022,1.3,0,-1.4999999999999999e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',200.0,0.02,2.0,0.3,0.002,0.2,0.0,0.0,854000000.0,0,0.005,0.0,4.9999999999999996e-06,9.999999999999999e-06,0.0,0.033,1.0,1.0,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',2.5,228200000.0,773000000.0,0.029,0.0,0.0125,0.03,0.0,550.0,932600000.0,0.174746,0.01125,0.03,93.0
14,14,2025/06/18 14:19:45,450000000.0,0.48,0.018000000000000002,620000000.0,0.0,0.0,0.009000000000000001,590.0,0.001,14.0,500.0,0.0125,100000.0,2.9999999999999997e-05,0.0125,0.05,0,0.0,0.1,450000000.0,10.0,0.0,-6000000.0,0.0,0.02,0.975,0.1634945,0.78,1.5,0.022,1.3,0,-1.4999999999999999e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',200.0,0.02,1.0,0.3,0.002,0.2,0.0,0.0,854000000.0,0,0.005,0.0,4.9999999999999996e-06,9.999999999999999e-06,0.0,0.033,1.0,1.0,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',2.5,228200000.0,773000000.0,0.029,0.0,0.0125,0.03,0.0,550.0,932600000.0,0.174746,0.01125,0.03,93.0
15,15,2025/06/18 14:20:02,450000000.0,0.48,0.018000000000000002,620000000.0,0.0,0.0,0.009000000000000001,590.0,0.001,15.0,500.0,0.0125,100000.0,2.9999999999999997e-05,0.0125,0.05,0,0.0,0.1,527000000.0,10.0,0.0,-6000000.0,0.0,0.02,0.975,0.1634945,0.78,1.5,0.022,1.3,0,-1.4999999999999999e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',200.0,0.02,2.0,0.3,0.002,0.2,0.0,0.0,854000000.0,0,0.005,0.0,4.9999999999999996e-06,9.999999999999999e-06,0.0,0.033,1.0,1.0,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',2.5,228200000.0,773000000.0,0.029,0.0,0.0125,0.03,0.0,550.0,932600000.0,0.174746,0.01125,0.03,93.0
16,16,2025/06/18 14:20:22,450000000.0,0.48,0.018000000000000002,620000000.0,0.0,0.0,0.009000000000000001,590.0,0.001,16.0,500.0,0.0125,100000.0,2.9999999999999997e-05,0.0125,0.05,0,0.0,0.1,450000000.0,10.0,0.0,-6000000.0,0.0,0.02,0.975,0.1634945,0.78,1.5,0.022,1.3,0,-1.4999999999999999e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',200.0,0.02,1.0,0.3,0.002,0.2,0.0,0.0,854000000.0,0,0.005,0.0,4.9999999999999996e-06,9.999999999999999e-06,0.0,0.033,1.0,1.0,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',2.5,228200000.0,773000000.0,0.029,0.0,0.0125,0.03,0.0,550.0,932600000.0,0.174746,0.01125,0.03,93.0
17,17,2025/06/18 14:20:38,450000000.0,0.48,0.018000000000000002,620000000.0,0.0,0.0,0.009000000000000001,590.0,0.001,17.0,500.0,0.0125,100000.0,2.9999999999999997e-05,0.0125,0.05,0,0.0,0.1,527000000.0,10.0,0.0,-6000000.0,0.0,0.02,0.975,0.1634945,0.78,1.5,0.022,1.3,0,-1.4999999999999999e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',200.0,0.02,2.0,0.3,0.002,0.2,0.0,0.0,854000000.0,0,0.005,0.0,4.9999999999999996e-06,9.999999999999999e-06,0.0,0.033,1.0,1.0,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',2.5,228200000.0,773000000.0,0.029,0.0,0.0125,0.03,0.0,550.0,932600000.0,0.174746,0.01125,0.03,93.0
18,18,2025/06/18 14:20:55,450000000.0,0.48,0.018000000000000002,620000000.0,0.0,0.0,0.009000000000000001,590.0,0.001,18.0,500.0,0.0125,100000.0,2.9999999999999997e-05,0.0125,0.05,0,0.0,0.1,450000000.0,10.0,0.0,-6000000.0,0.0,0.02,0.975,0.1634945,0.78,1.5,0.022,1.3,0,-1.4999999999999999e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',200.0,0.02,1.0,0.3,0.002,0.2,0.0,0.0,854000000.0,0,0.005,0.0,4.9999999999999996e-06,9.999999999999999e-06,0.0,0.033,1.0,1.0,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',2.5,228200000.0,773000000.0,0.029,0.0,0.0125,0.03,0.0,550.0,932600000.0,0.174746,0.01125,0.03,93.0
19,19,2025/06/18 14:21:11,450000000.0,0.48,0.018000000000000002,620000000.0,0.0,0.0,0.009000000000000001,590.0,0.001,19.0,500.0,0.0125,100000.0,2.9999999999999997e-05,0.0125,0.05,0,0.0,0.1,527000000.0,10.0,0.0,-6000000.0,0.0,0.02,0.975,0.1634945,0.78,1.5,0.022,1.3,0,-1.4999999999999999e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',200.0,0.02,2.0,0.3,0.002,0.2,0.0,0.0,854000000.0,0,0.005,0.0,4.9999999999999996e-06,9.999999999999999e-06,0.0,0.033,1.0,1.0,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',2.5,228200000.0,773000000.0,0.029,0.0,0.0125,0.03,0.0,550.0,932600000.0,0.174746,0.01125,0.03,93.0
20,20,2025/06/18 14:21:27,450000000.0,0.48,0.018000000000000002,620000000.0,0.0,0.0,0.009000000000000001,590.0,0.001,20.0,500.0,0.0125,100000.0,2.9999999999999997e-05,0.0125,0.05,0,0.0,0.1,300000000.0,10.0,0.0,-6000000.0,0.0,0.02,0.975,0.1634945,0.78,1.5,0.022,1.3,0,-1.4999999999999999e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',200.0,0.02,0.0,0.3,0.0022,0.2,0.0,0.0,854000000.0,0,0.005,0.0,4.9999999999999996e-06,9.999999999999999e-06,0.0,0.033,1.0,1.0,0.0,b'250615_dmd0_iterative_compensation_pinning.pkl',2.5,228200000.0,773000000.0,0.029,0.0,0.0125,0.03,0.0,550.0,932600000.0,0.174746,0.01125,0.03,93.0
21,21,2025/06/18 14:21:44,605500000.0,0.48,0.018000000000000002,620000000.0,0.0,0.0,0.009000000000000001,590.0,0.04,21.0,610.0,0.0125,100000.0,2.9999999999999997e-05,0.0125,0.05,0,0.0,0.1,766000000.0,10.0,0.0,-6000000.0,0.0,0.02,0.975,0.1634945,0.78,1.5,0.022,1.3,0,-1.4999999999999999e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',200.0,0.02,1.0,0.3,0.0022,0.2,0.0,0.0,1010900000.0,0,0.005,0.0,9.999999999999999e-06,9.999999999999999e-06,0.0,0.033,1.0,1.0,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',2.5,83506780.0,773000000.0,0.029,0.0,0.0125,0.03,0.0,550.0,1088300000.0,0.174746,0.01125,0.03,93.0
22,22,2025/06/18 14:22:00,450000000.0,0.48,0.018000000000000002,620000000.0,0.0,0.0,0.009000000000000001,590.0,0.001,22.0,500.0,0.0125,100000.0,2.9999999999999997e-05,0.0125,0.05,0,0.0,0.1,450000000.0,10.0,0.0,-6000000.0,0.0,0.02,0.975,0.1634945,0.78,1.5,0.022,1.3,0,-1.4999999999999999e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',200.0,0.02,1.0,0.3,0.0022,0.2,0.0,0.0,854000000.0,0,0.005,0.0,4.9999999999999996e-06,9.999999999999999e-06,0.0,0.033,1.0,1.0,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',2.5,228200000.0,773000000.0,0.029,0.0,0.0125,0.03,0.0,550.0,932600000.0,0.174746,0.01125,0.03,93.0
23,23,2025/06/18 14:22:16,450000000.0,0.48,0.018000000000000002,620000000.0,0.0,0.0,0.009000000000000001,590.0,0.001,23.0,500.0,0.0125,100000.0,2.9999999999999997e-05,0.0125,0.05,0,0.0,0.1,527000000.0,10.0,0.0,-6000000.0,0.0,0.02,0.975,0.1634945,0.78,1.5,0.022,1.3,0,-1.4999999999999999e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',200.0,0.02,2.0,0.3,0.0022,0.2,0.0,0.0,854000000.0,0,0.005,0.0,4.9999999999999996e-06,9.999999999999999e-06,0.0,0.033,1.0,1.0,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',2.5,228200000.0,773000000.0,0.029,0.0,0.0125,0.03,0.0,550.0,932600000.0,0.174746,0.01125,0.03,93.0
24,24,2025/06/18 14:22:32,450000000.0,0.48,0.018000000000000002,620000000.0,0.0,0.0,0.009000000000000001,590.0,0.001,24.0,500.0,0.0125,100000.0,2.9999999999999997e-05,0.0125,0.05,0,0.0,0.1,450000000.0,10.0,0.0,-6000000.0,0.0,0.02,0.975,0.1634945,0.78,1.5,0.022,1.3,0,-1.4999999999999999e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',200.0,0.02,1.0,0.3,0.0022,0.2,0.0,0.0,854000000.0,0,0.005,0.0,4.9999999999999996e-06,9.999999999999999e-06,0.0,0.033,1.0,1.0,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',2.5,228200000.0,773000000.0,0.029,0.0,0.0125,0.03,0.0,550.0,932600000.0,0.174746,0.01125,0.03,93.0
